,company_name,dba_name,owner_first,owner_last,location,location_city,location_state,zip_code,mailing_address,mailing_city,mailing_state,mailing_zip,certification_type,capability,local,out_of_state,location_standard,lat,lng,geometry,in_philly_msa,match_probability,DR_ACCT,CR_ACCT,CURR_PRIOR_FLAG,POSTED_DATE,DEPT,SEC_FD,INDEX,PROGRAM_CD,MAJ_CLASS,CLASS,DOC_NUM,TRANS_DESC,DOC_REF_NUM,VEND_NAME,VEND_NUM,DOC_NUM4,DOC_REF4,TOTAL_AMT
77,Milligan Group LLC,,Kariema,Milligan,"6323 Gardenia Street, 1st Floor",Philadelphia,PA,19144.0,"6323 Gardenia Street, 1st Floor",Philadelphia,PA,19144.0,MWBE,"Telecommunications; Management, Scientific, and Technical Consulting Services; Electrical Contractors and Other Wiring Installation Contractors",True,False,6323 GARDENIA ST,40.04722680816574,-75.17801770032865,POINT (-75.17801770032865 40.04722680816574),True,1.0,433.0,201.0,PRIOR,2018-07-09,5.0,10.0,50839.0,,2.0,0250,PVMD1802200401,*115383* MAY 2018 ADA SELF-EVALUATION,MDXX1800125901,milligan,233010968 01,PVMD,MDXX,106607.0
78,Miss Marty's Pre-School,,Martha,Macallister,222-226 West Harvey Street,Philadelphia,PA,19144.0,222 West Harvey Street,Philadelphia,PA,19144.0,WBE,"NAICS 624410 Child day care, before or after school, separate from schools ; NAICS 624410 Day care centers, child or infant",True,False,222-26 HARVEY ST,40.03585635143693,-75.1806363402987,POINT (-75.1806363402987 40.03585635143693),True,1.0,431.0,201.0,CURR,2019-06-03,22.0,10.0,222588.0,,2.0,0290,PVMD1902052903,APR19#69971190419#,MDXX1900092203,miss marty s pre school,231644599 01,PVMD,MDXX,1178.64
79,"Mitchell & Titus, LLP",,Irene,Davis,"One Battery Park Plaza, 27th Floor",New York,NY,10004.0,"One Battery Park Plaza, 27th Floor",New York,NY,10004.0,MBE,"541211: Accountants' (i.e., CPAs) offices, certified public ; 541213: Income tax compilation services ; 541219: Accountants' (except CPAs) offices ; 541611: Administrative Management and General Management Consulting Services",False,True,,40.7033828616768,-74.0144338380126,POINT (-74.01443383801259 40.7033828616768),False,1.0,433.0,201.0,PRIOR,2019-02-04,61.0,10.0,610105.0,,2.0,0252,PVMD1901155101,*I10002786* PROF SERVICES RENDERED,MPXX1800031101,mitchell titus llp,132781641 01,PVMD,MPXX,25000.0
80,"Mobile Dredging & Video Pipe, Inc.",,Marcie,Hemmelstein,3100 BETHEL ROAD,Chester,PA,19013.0,3100 BETHEL ROAD,Chester,PA,19013.0,WBE,"Sewer main, pipe and connection, construction ; Channel construction ; Remediation Services ; Sewer cleaning and rodding services; Dredging (e.g., canal, channel, ditch, waterway); Other Heavy and Civil Engineering Construction; Site Preparation Contractors; All Other Miscellaneous Waste Management Services; Catch basin cleaning services; Sewer cleanout services",False,False,,39.843743191432,-75.40668813054991,POINT (-75.40668813054991 39.843743191432),True,1.0,433.0,201.0,PRIOR,2018-07-06,12.0,10.0,120843.0,,2.0,0260,VCXX1900057201,*36951*                  JUN18 RENT/VACUMM MACHINE,POXX1812143601,mobile dredging video pipe,231644245 01,VCXX,POXX,52192.74999999999
81,"Mobile Lifts, Inc.",,Jean,Holt,3476 Germantown Pike,Collegeville,PA,19426.0,3476 Germantown Pike,Collegeville,PA,19426.0,WBE,"3339: Other General Purpose Machinery Manufacturing; 4231: Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers; 4236: Electrical and Electronic Goods Merchant Wholesalers; 4238: Machinery, Equipment and Supplies Merchant Wholesalers; 8113: Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance",False,False,,40.1753003879871,-75.40984291591141,POINT (-75.40984291591141 40.1753003879871),True,1.0,431.0,201.0,CURR,2019-04-09,25.0,10.0,252357.0,,3.0,0328,PVFM1902991901,*214659* 03/20/2019_U357SC190650_AUTO PARTS,,mobile lifts,231706004 01,PVFM,,11615.38
82,"mPower Software Services, LLC.",,Vaidyanathan,Narayanan,"115 Pheasant Run, Suite 110",Newton,PA,18940.0,"115 Pheasant Run, Suite 110",Newton,PA,18940.0,MBE,"5415: Computer Systems Design and Related Services ; 5416: Management, Scientific, and Technical Consulting Services",False,False,,40.2256108796595,-74.9146592593281,POINT (-74.9146592593281 40.2256108796595),True,1.0,431.0,201.0,CURR,2019-04-25,4.0,10.0,40324.0,,2.0,0251,PVMD1901796101,*1903001* UPGRADE/TEST LPAR MAR19,MPXX1900026301,mpower software,203858513 02,PVMD,MPXX,18900.0
83,"National Reprographics, Inc",Bluedge,Douglas,Magid,44 West 18th Street,New York,NY,10011.0,44 West 18th Street,New York,NY,10011.0,WBE,Posters gravure printing without publishing; Printing,False,True,,40.7394539167177,-73.99414015732921,POINT (-73.99414015732921 40.7394539167177),False,1.0,431.0,201.0,CURR,2019-06-10,72.0,10.0,720003.0,,3.0,0324,VCXX1908968301,*809865*                 MAY19,POXX1910695101,national reprographics,135582590 01,VCXX,POXX,2830.25
84,"Neta Scientific, Inc.",,Garnetta,Sanders,4206 SYLON BLVD,Hainesport,NJ,8036.0,4206 SYLON BLVD,Hainesport,NJ,8036.0,MWBE,"Analytical instruments (e.g., chromatographic, photometers, spectrographs) merchant wholesalers",False,True,,39.9789292293401,-74.8445474105909,POINT (-74.84454741059091 39.9789292293401),True,1.0,431.0,201.0,CURR,2018-12-05,14.0,10.0,142750.0,,3.0,0317,VCXX1903800301,*INV0466023*             TUBES NOV 2018,POXX1910934301,neta scientific,223700956 01,VCXX,POXX,10890.0
85,"Next Step Associates, LLC",,Cassandra W.,Jones,"7300 City Avenue, Suite 310",Philadelphia,PA,19151.0,"7300 City Avenue, Suite 310",Philadelphia,PA,19151.0,MWBE,541611: General management consulting services  ; 61171: Educational Support Services,True,False,7300 CITY AVE,39.9801749692911,-75.2676297218447,POINT (-75.2676297218447 39.9801749692911),True,1.0,433.0,201.0,PRIOR,2018-07-06,12.0,10.0,120945.0,,2.0,0250,PVMD1900008101,JUN18 *1145* CONSULTING SERVICES,MPXX1800027701,next step,450532414 01,PVMD,MPXX,23950.0
86,North Star Electrical Supply Co,,Eleanor,DaSilva,7900 Rear Frankford Avenue,Philadelphia,PA,19136.0,7900 Rear Frankford Avenue,Philadelphia,PA,19136.0,WBE,"423610: Alarm apparatus, electric, merchant wholesalers  ; 423610: Construction materials, electrical, merchant wholesalers  ; 423610: Current-carrying wiring devices merchant wholesalers  ; 423610: Distribution equipment, electrical, merchant wholesalers  ; 423610: Generators, electrical (except motor vehicle), merchant wholesalers ; 423610: Industrial controls, electrical, merchant wholesalers  ; 423610: Insulated wire or cable merchant wholesalers  ; 423610: Light bulbs merchant wholesalers ; 423610: Lighting fixtures, electric, merchant wholesalers ; 423610: Switches, electrical, merchant wholesalers",True,False,7900 FRANKFORD AVE,40.04114330618045,-75.02993199495016,POINT (-75.02993199495016 40.04114330618045),True,1.0,433.0,201.0,PRIOR,2018-10-15,12.0,10.0,120913.0,,3.0,0310,VCXX1902647401,"*187175*                 OCT18 LUMINAIRE,LED",POXX1812371201,north star electrical supply,232540809 01,VCXX,POXX,120941.61999999998
87,Oneida Fire Protection Inc,,Alex,Hammelbacher,421 N 7th St Suite 401,Philadelphia,PA,19123.0,421 N 7th St Suite 401,Philadelphia,PA,19123.0,MBE,238220	Fire sprinkler system installation,True,False,421 N 7TH ST,39.959146763800405,-75.14964426778617,POINT (-75.14964426778617 39.9591467638004),True,1.0,431.0,201.0,CURR,2019-03-25,12.0,10.0,120848.0,,2.0,0260,VCXX1906942201,*9049*                   JAN19 FIRE SUPPRSSN SYSTM,POXX1911437901,oneida fire protection,263318312 01,VCXX,POXX,76522.41
88,PAIK INCORPORATED,Klinghoffer Carpet,Joe,Paik,2051 BYBERRY ROAD,Philadelphia,PA,19116.0,2051 BYBERRY ROAD,Philadelphia,PA,19116.0,MBE,"NAICS 238330	Carpet, installation only; NAICS 238330	Floor tile and sheets, installation only; NAICS 238330	Flooring Contractors; NAICS 238330	Hardwood flooring, installation only; NAICS 238330	Linoleum, installation only; NAICS 238330	Resilient floor tile or sheet (e.g., linoleum, rubber, vinyl), installation only; NAICS 238330	Vinyl flooring contractors; NAICS 238330	Wood flooring, installation only; NAICS 442210	Carpet stores; NAICS 442210	Floor Covering Stores",True,False,2051 BYBERRY RD,40.110447604132546,-75.00267411625573,POINT (-75.00267411625573 40.11044760413255),True,1.0,433.0,201.0,PRIOR,2018-12-06,4.0,10.0,40454.0,,2.0,0260,VCXX1903978301,*D4843*                  CARPET TILE INSTAL MAY18,POXX1811529601,paik,232573702 01,VCXX,POXX,290740.69000000006
89,"Panoptic Sourcing & Supply, LLC",,Jenny,Pursel,"125 Morgantown Rd, Suite 3",Reading,PA,19611.0,1609 West Leesport Road,Leesport,PA,19533.0,WBE,Wholesale Trade Agents and Brokers,False,False,,40.3220389644176,-75.9288659197741,POINT (-75.9288659197741 40.3220389644176),False,1.0,431.0,201.0,CURR,2019-03-18,1.0,10.0,10058.0,,3.0,0320,VCXX1906727201,*126177*                 STANDING DESKS,POXX1911626601,panoptic sourcing supply,475365547 01,VCXX,POXX,36991.26
90,"Performance Plus International, Inc.",,Khalid,Asad,"1800 Diagonal Road, Suite 600",Alexandria,VA,22314.0,"1800 Diagonal Road, Suite 600",Alexandria,VA,22314.0,MBE,"90113	Training Consultant; 25000	PROFESSIONAL SERVICES, GENERAL; 90109	Management Consultant; ",False,True,,38.805969805707605,-77.06023470346621,POINT (-77.06023470346621 38.8059698057076),False,1.0,431.0,201.0,CURR,2019-05-16,22.0,10.0,226241.0,,2.0,0256,PVMD1901942604,#1920058ADMIMARC#MAR19 LEADERSHIP PROF DEV CONSULT,MDXX1900063402,performance plus international,510394606 01,PVMD,MDXX,104806.43999999999
91,"Personal Security Services, LLC",,Guy,Cuffey,895 Mara Drive,Blue Bell,PA,19422.0,895 Mara Drive,Blue Bell,PA,19422.0,MBE,"Protection services (except armored car, security systems), personal or property",False,False,,40.1743843568313,-75.3021345683924,POINT (-75.3021345683924 40.1743843568313),True,1.0,431.0,201.0,CURR,2018-09-10,52.0,10.0,520324.0,,2.0,0250,PVMD1900366301,*1159* SERVICE TO COIN MACHINE AUG18,MDXX1900002001,personal security,061741133 01,PVMD,MDXX,23450.58
92,Pest Free Maintenance,,Rhonda,Griffin,3002 W. Cumberland Street,Philadelphia,PA,19132.0,3002 W. Cumberland Street,Philadelphia,PA,19132.0,MWBE,20150	EXTERMINATING SVC; ,True,False,3002 W CUMBERLAND ST,39.99404125386106,-75.18108564600026,POINT (-75.18108564600026 39.99404125386106),True,1.0,431.0,201.0,CURR,2019-06-12,14.0,10.0,140686.0,,2.0,0250,PVMD1902072201,*PDPH052019* SERVICES FOR MAY 2019,MDXX1900130901,pest free maintenance,232847567 01,PVMD,MDXX,485.0
93,"Pine Hill Printing, Inc.",,Edith,McCusker,200 Erial Road,Pine Hill,NJ,8021.0,200 Erial Road,Pine Hill,NJ,8021.0,WBE,Printing and Related Support Activities  ; Commercial and Service Industry Machinery Manufacturing  ; ,False,True,,39.794292061972605,-74.9889214657134,POINT (-74.9889214657134 39.79429206197261),True,1.0,433.0,201.0,PRIOR,2018-08-14,52.0,10.0,523415.0,,3.0,0325,VCXX1900977901,*172547*                 GOODS JUL18 172547,POXX1812274001,pine hill printing,223306120 01,VCXX,POXX,3178.4
94,Pomerantz Acquisition Corp.,A. Pomerantz & Co.,Garry,Maddox,"123 S. Broad Street, Suite 1260",Philadelphia,PA,19109.0,"123 S. Broad Street, Suite 1260",Philadelphia,PA,19109.0,MBE,"Furniture (except drafting tables, hospital beds, medical furniture) merchant wholesalers ; Office furniture merchant wholesalers  ; ",True,False,123 S BROAD ST,39.949660181404816,-75.16355073324904,POINT (-75.16355073324904 39.94966018140482),True,0.98,433.0,201.0,PRIOR,2018-07-23,13.0,10.0,130633.0,,4.0,0430,VCXX1809145601,*331818*                 BEDS,POXX1810407301,pomerantz acquistion,232792631 01,VCXX,POXX,4614.08
95,"Portfolio Associates, Inc.",,BEVERLY A.,HARPER,510 WALNUT STREET - SUITE 1411,Philadelphia,PA,19106.0,"510 WALNUT STREET - SUITE 1411, SUITE 1411",Philadelphia,PA,19106.0,MWBE,"541430: Graphic design services; 541611: Administrative Management and General Management Consulting Services; 541613: Marketing consulting services; 541614: Process, Physical Distribution and Logistics Consulting Services; 541810: Advertising agencies; 541820: Public relations agencies; 541850: Display advertising services; 541860: Direct Mail Advertising ; 541870: Advertising Material Distribution Services; 541910: Marketing Research and Public Opinion Polling",True,False,510 WALNUT STREET-SUITE,39.94726656967876,-75.15053891386826,POINT (-75.15053891386826 39.94726656967876),True,1.0,433.0,201.0,PRIOR,2019-05-22,26.0,10.0,263244.0,,2.0,0250,PVMD1901634701,*468991* ZONING CODE TRAINING FEB19,MDXX1700144701,portfolio,231729699 01,PVMD,MDXX,21827.36
96,"Powersolv, Inc",,Rahul,Dhawan,"1801 Robert Fulton Dr., Suite 550",Reston,VA,20191.0,"1801 Robert Fulton Dr., Suite 550",Reston,VA,20191.0,MBE,"Network systems integration design services, computer ; Systems integration design consulting services, computer ; Other Computer Related Services",False,True,,38.9425500003483,-77.32454849964259,POINT (-77.32454849964259 38.9425500003483),False,1.0,433.0,201.0,PRIOR,2018-08-27,4.0,10.0,41020.0,,2.0,0251,PVMD1900293701,*1806039* CAROL SMITH 6/18/18-6/30/18 JUN18,MDXX1800155301,powersolv,541756944 01,PVMD,MDXX,127008.0
97,"Precision Reporting, Inc.",,Michele,Matteo,"230 South Broad Street, Suite 302",Philadelphia,PA,19102.0,"230 South Broad Street, Suite 302",Philadelphia,PA,19102.0,WBE,"Court reporting and stenotype services  ; Stenography services, public  ; Document transcription services; Court reporting services; ",True,False,230 S BROAD ST,39.948420490008395,-75.16507385496281,POINT (-75.16507385496281 39.9484204900084),True,1.0,431.0,201.0,CURR,2019-06-27,72.0,10.0,720003.0,,2.0,0258,VCXX1909543701,*130106400*              MAY19,POXX1911681701,precision reporting,232625814 01,VCXX,POXX,64716.12999999997
98,Progressive Life Center,,Laurence,Jackson,"1704 17th Street, NE",Washington,DC,20002.0,"1704 17th Street, NE",Washington,DC,20002.0,MBE,"Mental health centers and clinics (except hospitals), outpatient  ; Mental health facilities, residential ; Other Individual and Family Services ; Other Social Advocacy Organizations  ; ",False,True,,38.9151990001969,-76.9772745000535,POINT (-76.9772745000535 38.9151990001969),False,1.0,431.0,201.0,CURR,2019-06-14,22.0,10.0,222588.0,,2.0,0290,PVMD1902115703,MAY19#61731190519#,MDXX1900094703,progressive life center,521326357 01,PVMD,MDXX,977709.9800000001
99,Quantum Inc.,,Jean,Wang,240 S. 9th Street,Philadelphia,PA,19107.0,240 S. 9th Street,Philadelphia,PA,19107.0,MWBE,"541930	Translation services, language",True,False,240 S 9TH ST,39.94695397886193,-75.15629312227583,POINT (-75.15629312227583 39.94695397886193),True,1.0,431.0,201.0,CURR,2018-07-19,22.0,10.0,224100.0,,2.0,0250,PVXX1900044402,*51925* 061118 TO 061418 INTERPRETATION SERVICE,DPA1819,quantum,232651602 01,PVXX,DPA1,605.0
100,"R F Design & Integration, Inc.",,Robin,Albert,4725 Wingate Street,Philadelphia,PA,19136.0,4725 Wingate Street,Philadelphia,PA,19136.0,WBE,90903	Telecommunications; ,True,False,4725 WINGATE ST,40.039216111640734,-75.01522502626747,POINT (-75.01522502626747 40.03921611164073),True,1.0,431.0,201.0,CURR,2019-04-24,23.0,10.0,230291.0,,3.0,0310,VCXX1907645401,*29240*                  29240/SUPPLIES/01/19,POXX1911286901,r f design integration,232870132 01,VCXX,POXX,1197.29
101,"Radgov, Inc.",,Jyothi,Myneni,"6750 N. Andrews Ave., Suite 200",Fort Lauderdale,FL,33309.0,107 B-1 Corporate Blvd.,South Plainfield,NJ,7080.0,MWBE,"Data Processing, Hosting, and Related Services; All Other Information Services; Payroll Services; Engineering services; Computer Systems Design Services; Computer Facilities Management Services; Other Computer Related Services; All Other Professional, Scientific, and Technical Services; Professional and Management Development Training; Computer and Office Machine Repair and Maintenance",False,True,,26.2099311312485,-80.1423298501027,POINT (-80.1423298501027 26.2099311312485),False,1.0,433.0,201.0,PRIOR,2018-07-09,4.0,10.0,41002.0,,2.0,0251,PVMD1900031201,*1805014* PHILLIPS 5/1/18-5/31/18 MAY18,MDXX1800130501,radgov,202752989 01,PVMD,MDXX,129696.20999999999
102,RECREATION RESOURCE USA LLC,,Sylvia,Umbreit,"503 N Walnut Rd, Suite 200",Kennett Square,PA,19348.0,"503 N Walnut Rd, Suite 200",Kennett Square,PA,19348.0,WBE,"Outdoor furniture merchant wholesalers; Playground equipment and supplies merchant wholesalers; Playground equipment installation; Athletic goods (except apparel, footwear, nonspecialty) merchant wholesalers",False,False,,39.8580182757433,-75.7034235931774,POINT (-75.7034235931774 39.8580182757433),True,1.0,433.0,201.0,PRIOR,2018-07-19,16.0,10.0,168831.0,,3.0,0326,VCXX1900327801,*18125*                  JUN18 SWING SEAT,POXX1811530101,recreation resource usa,463865189 01,VCXX,POXX,29073.94
103,Reliable Investments LLC,Reliable Dynamics LLC,Anthony,Obiako,"801 2nd Ave, Suite 800",Seattle,WA,98104.0,"801 2nd Ave, Suite 800",Seattle,WA,98104.0,MBE,"Building materials, fiberglass (except insulation, roofing, siding), merchant wholesalers; Industrial safety devices (e.g., eye shields, face shields, first-aid kits) merchant wholesalers; Compactors, trash, industrial, merchant wholesalers; Material handling machinery and equipment merchant wholesalers; Containers, industrial, merchant wholesalers; Safety devices (e.g., eye shields, face shields) merchant wholesalers; Agents and brokers, nondurable goods, wholesale trade",False,True,,47.6036910000169,-122.33459699963801,POINT (-122.334596999638 47.6036910000169),False,1.0,431.0,201.0,CURR,2019-05-10,10.0,10.0,100085.0,,3.0,0318,VCXX1908154501,*00849B*                 MARCH2019,POXX1911752401,reliable investments,273968087 01,VCXX,POXX,24941.69
104,"Replica Global, LLC",Replica,Keith,Leaphart,33 S. 18th Street,Philadelphia,PA,19103.0,33 S. 18th Street,Philadelphia,PA,19103.0,MBE,"Job printing, offset; Address lists commercial printing (except screen) without publishing; Books Printing; Graphic design services; Outdoor Advertising; BLUE LINE PRINTING; Desktop Publishing; PRINTING OF TAGS AND LABELS; Graphic Design; FOUR COLOR PRINTING; PRINT SNAP-OUT-FORMS; PRINT ENVELOPES",True,False,33 S 18TH ST,39.95203006398166,-75.17024044147522,POINT (-75.17024044147522 39.95203006398166),True,1.0,431.0,201.0,CURR,2019-04-22,10.0,10.0,101650.0,,2.0,0250,PVMD1901573601,*26274* SERVICE RENDERED JAN 15 2019,MDXX1900137301,replica global,271267024 01,PVMD,MDXX,12488.25
105,ResiliEnt Business Solutions,,Laila,Samawi-Utley,"11175 Cicero Drive, Suite 100",Alpharetta,GA,30022.0,"11175 Cicero Drive, Suite 100",Alpharetta,GA,30022.0,WBE,"NAICS 541511: Applications software programming services, custom computer ; NAICS 541618: Other Management Consulting Services ; ",False,True,,34.0511209731888,-84.27870688182209,POINT (-84.27870688182209 34.0511209731888),False,1.0,433.0,201.0,PRIOR,2018-09-17,22.0,10.0,226280.0,,2.0,0251,PVMD1900399502,#2790#JUN18 IT SERVICES,MDXX1800069602,resilient business solutions,010806069 01,PVMD,MDXX,757407.45
106,"Revenue Collection Bureau, Inc.",,Asuncion,Munoz,5900 Torresdale Avenue,Philadelphia,PA,19135.0,5900 Torresdale Avenue,Philadelphia,PA,19135.0,MBE,Bill collection services,True,False,5900 TORRESDALE AVE,40.01717613618531,-75.06066491026084,POINT (-75.06066491026084 40.01717613618531),True,1.0,431.0,201.0,CURR,2019-05-10,22.0,10.0,222588.0,,2.0,0250,PVMD1901894902,#18200320123DHSMARCH2019#MAR19 COLLECTIONS,MDXX1900104502,revenue collection bureau,233059925 01,PVMD,MDXX,53172.04000000001
107,RPT New York LLC,,Kimberlee,Clarke,580 W Main Street,Trappe,PA,19426.0,12 Iron Bridge Drive,Collegeville,PA,19426.0,WBE,"Paint, Varnish, and Supplies Merchant Wholesalers",False,False,,40.2004721456988,-75.4799536085168,POINT (-75.47995360851679 40.2004721456988),True,1.0,431.0,201.0,CURR,2018-10-05,52.0,10.0,520315.0,,3.0,0316,VCXX1902496101,*12349*                  GOODS AUG18 12349,POXX1910436101,rpt new york,233070170 01,VCXX,POXX,15549.25
108,SCAN-OPTICS LLC,,PMF,PMF,169 Progress Drive,Manchester,CT,6042.0,169 Progress Drive,Manchester,CT,6042.0,WBE,Data capture imaging services,False,True,,41.8043774757995,-72.503328583207,POINT (-72.50332858320699 41.8043774757995),False,1.0,431.0,201.0,CURR,2019-02-14,4.0,10.0,40469.0,,2.0,0266,VCXX1905865301,*1010153IN*              MNT 7/1/18-6/30/19 JUN19,POXX1911028701,scan optics,203168944 01,VCXX,POXX,5707.54
109,"Scotlandyard Security Services, Inc.",,Omar,Wilson,"2233-47 W. Allegheny Avenue, Suite 2000",Philadelphia,PA,19132.0,"2233-47 W. Allegheny Avenue, Suite 2000",Philadelphia,PA,19132.0,MBE,"541199 Process serving services ; 541990 All Other Professional, Scientific, and Technical Services  ; 561611 Private investigation services (except credit) ; 561612 Security guards and patrol services  ; 611430 Management development training  ; 541690 Security consulting services; 561611 Investigation Services; 561612 Security guard services; 611519 Security guard training; ",True,False,2233-47 W ALLEGHENY AVE,40.00389760009457,-75.16703610462764,POINT (-75.16703610462764 40.00389760009457),True,1.0,433.0,201.0,PRIOR,2018-08-01,14.0,10.0,142117.0,,2.0,0250,VCXX1900529301,*72219*                  GUARD SERVICE JUN 2018,POXX1812084501,scotlandyard security,201509605 01,VCXX,POXX,2416064.4700000007
110,"Sharon Suleta, Esquire",,Sharon,Suleta,214 Martroy Lane,Wallingford,PA,19086.0,214 Martroy Lane,Wallingford,PA,19086.0,WBE,Legal Services; Business and professional services ; ,False,False,,39.8998867489183,-75.36676949574179,POINT (-75.36676949574179 39.8998867489183),True,1.0,433.0,201.0,PRIOR,2018-11-20,44.0,10.0,440537.0,,2.0,0253,PVMD1900787501,*180601* JUN18 ZBA & ADMINISTRATIVE HEARINGS,MDXX1800033601,sharon suleta esquire,149525543 01,PVMD,MDXX,218100.0
111,SHI International Corp.,,Thai,Lee,290 Davidson Avenue,Somerset,NJ,8873.0,290 Davidson Avenue,Somerset,NJ,8873.0,MWBE,"Computer software support services, custom; Computer and Computer Peripheral Equipment and Software Merchant Wholesalers",False,True,,40.5311580001948,-74.5270245001992,POINT (-74.5270245001992 40.5311580001948),False,1.0,431.0,201.0,CURR,2019-02-11,1.0,10.0,10058.0,,2.0,0216,VCXX1905692701,*B09420325*              ADOBE LICENSES,POXX1911178001,shi international,223009648 01,VCXX,POXX,1308500.3600000003
112,"South Jersey Paper Products, Inc.",,Bonnie,Spector,2400 Industrial Way,Vineland,NJ,8360.0,2400 Industrial Way,Vineland,NJ,8360.0,WBE,"Wholesale Trade; Bags, paper and disposable plastics, merchant wholesalers; Containers, paper and disposable plastics, merchant wholesalers; Dishes, paper and disposable plastics, merchant wholesalers; Disposable plastics products (e.g., boxes, cups, cutlery, dishes, sanitary food containers) merchant wholesalers; Eating utensils, disposable plastics, merchant wholesalers; Facial tissue merchant wholesalers; Filter papers merchant wholesalers; Industrial supplies, disposable plastics, paper, merchant wholesalers; Knives, disposable plastics, merchant wholesalers; Napkins, paper, merchant wholesalers",False,True,,39.5151825858653,-75.06774960207541,POINT (-75.06774960207541 39.5151825858653),False,1.0,431.0,201.0,CURR,2019-02-22,24.0,10.0,241515.0,,2.0,0250,VCXX1906018101,*202648*                 SUPPLIES FOR RVH JAN 2019,POXX1911365901,south jersey paper products,221776093 01,VCXX,POXX,562148.0000000001
113,"Stelwagon Roofing Supply, Inc.",,Linda,Hill,10096 Sandmeyer Lane,Philadelphia,PA,19116.0,10096 Sandmeyer Lane,Philadelphia,PA,19116.0,WBE,"Asphalt roofing shingles merchant wholesalers  ; Gutters and down spouts (except wood) merchant wholesalers ; Insulation materials (except wood) merchant wholesalers ; Roofing materials (except wood) merchant wholesalers  ; Roofing, Siding, and Insulation Material Merchant Wholesalers ; Shingles (except wood) merchant wholesalers; Siding (except wood) merchant wholesalers ; Vinyl siding merchant wholesalers  ; Plywood merchant wholesalers; Roofing materials, wood, merchant wholesalers; Screens, window and door, merchant wholesalers; Shingles, wood, merchant wholesalers; Sheet metal roofing materials merchant wholesalers; Tarred felts merchant wholesalers; Other Construction Material Merchant Wholesalers; Roofing materials; Siding and exterior wall materials; Retail distribution services;  ;   ;  ; ; ",True,False,10096 SANDMEYER LN,40.11435995762103,-75.03787327089394,POINT (-75.03787327089394 40.11435995762103),True,1.0,431.0,201.0,CURR,2018-12-05,11.0,10.0,111329.0,,3.0,0322,VCXX1903974101,*1811292376*             STAPLER GUN 11/2/18,POXX1910562901,stelwagon roofing supply,010735292 01,VCXX,POXX,18391.14
114,"Strehlow & Associates, Inc.",,Karen Strehlow,Kmetz,"54 Friends Lane, Suite 116",Newtown,PA,18940.0,"54 Friends Lane, Suite 116",Newtown,PA,18940.0,WBE,"Offices of Notaries; All Other Legal Services; Translation services, Language; Court reporting and stenotype services; Court reporting services; Video taping services for legal depositions; Translation and Interpretation Services; Document transcription services; Videoconferencing services; Transcription services; ",False,False,,40.227872277332004,-74.9101532424893,POINT (-74.9101532424893 40.227872277332),True,1.0,433.0,201.0,PRIOR,2018-07-05,1.0,10.0,10058.0,,2.0,0258,VCXX1900008101,*JUN34828S*              CRT RPRTING SVS-6/18,POXX1812349101,strehlow,233036541 01,VCXX,POXX,290722.22
115,"SUMMIT COURT REPORTING, INC.",,YVETTE,SAMUEL,"1500 WALNUT ST, SUITE 1610",Philadelphia,PA,19102.0,"1500 WALNUT ST, SUITE 1610",Philadelphia,PA,19102.0,WBE,"Closed captioning services, real-time (i.e., simultaneous); Court reporting and stenotype services; Deposition services; Real-time (i.e., simultaneous) closed captioning of live television performances, meetings, conferences, and so forth",True,False,1500 WALNUT ST,39.94913378335728,-75.16635869840054,POINT (-75.16635869840054 39.94913378335728),True,1.0,431.0,201.0,CURR,2019-04-02,44.0,10.0,440097.0,,2.0,0258,VCXX1907109001,*74278*                  FEB19 18CV02734 SHERIFF,POXX1910406501,summit court reporting,232746102 01,VCXX,POXX,18273.97
116,"T. Frank McCall's, Inc.",,Lisa,Witomski,601 Madison Street,Chester,PA,19013.0,601 Madison Street,Chester,PA,19013.0,WBE,"Professional and Commercial Equipment and Supplies Merchant Wholesalers ; Janitorial equipment and supplies merchant wholesalers ; Paper and Paper Product Merchant Wholesalers ; Bags, paper and disposable plastics, merchant wholesalers ; Chemical and Allied Products Merchant Wholesalers ; Chemicals (except agriculture) (e.g., automotive, household, industrial, photographic) merchant wholesalers ; Janitorial chemicals merchant wholesalers",False,False,,39.851013177322294,-75.3570306405577,POINT (-75.3570306405577 39.85101317732229),True,0.97,431.0,201.0,CURR,2018-08-06,10.0,10.0,100085.0,,3.0,0318,VCXX1900871501,*655719*                 JULY2018,POXX1910048101,t frank mccalls,231647387 01,VCXX,POXX,112025.01
117,T.U.C.S. Cleaning Service Inc.,,Sergio,Artazu,615 Chestnut Street,Philadelphia,PA,19106.0,615 Chestnut Street,Philadelphia,PA,19106.0,MBE,"Building cleaning services, interior",True,False,615 CHESTNUT ST,39.949631093404996,-75.15166102980218,POINT (-75.15166102980218 39.949631093405),True,1.0,431.0,201.0,CURR,2019-05-15,52.0,10.0,520321.0,,2.0,0201,VCXX1907663101,*63886*                  CARPET CLEAN BUSHROD 0119,POXX1911539001,t u c s cleaning,222464345 01,VCXX,POXX,14846.539999999995
